ENP1: rounded = 5, raw = 5.000000, rounded_increase = 0.0, calc = ENP1 = 5 (raw 5.000000)
ENP2: rounded = 505, raw = 504.500000, rounded_increase = 500, calc = [5 + (5000.0 - 5) x 10.00%]
ENP3: rounded = 955, raw = 954.500000, rounded_increase = 450, calc = [505 + (5000.0 - 505) x 10.00%]
ENP4: rounded = 1360, raw = 1359.500000, rounded_increase = 405, calc = [955 + (5000.0 - 955) x 10.00%]
ENP5: rounded = 1724, raw = 1724.000000, rounded_increase = 364, calc = [1360 + (5000.0 - 1360) x 10.00%]
ENP6: rounded = 2052, raw = 2051.600000, rounded_increase = 328, calc = [1724 + (5000.0 - 1724) x 10.00%]
ENP7: rounded = 2347, raw = 2346.800000, rounded_increase = 295, calc = [2052 + (5000.0 - 2052) x 10.00%]
ENP8: rounded = 2612, raw = 2612.300000, rounded_increase = 265, calc = [2347 + (5000.0 - 2347) x 10.00%]
ENP9: rounded = 2851, raw = 2850.800000, rounded_increase = 239, calc = [2612 + (5000.0 - 2612) x 10.00%]
ENP10: rounded = 3066, raw = 3065.900000, rounded_increase = 215, calc = [2851 + (5000.0 - 2851) x 10.00%]
ENP11: rounded = 3259, raw = 3259.400000, rounded_increase = 193, calc = [3066 + (5000.0 - 3066) x 10.00%]
ENP12: rounded = 3433, raw = 3433.100000, rounded_increase = 174, calc = [3259 + (5000.0 - 3259) x 10.00%]
ENP13: rounded = 3590, raw = 3589.700000, rounded_increase = 157, calc = [3433 + (5000.0 - 3433) x 10.00%]
ENP14: rounded = 3731, raw = 3731.000000, rounded_increase = 141, calc = [3590 + (5000.0 - 3590) x 10.00%]
ENP15: rounded = 3858, raw = 3857.900000, rounded_increase = 127, calc = [3731 + (5000.0 - 3731) x 10.00%]
ENP16: rounded = 3972, raw = 3972.200000, rounded_increase = 114, calc = [3858 + (5000.0 - 3858) x 10.00%]
ENP17: rounded = 4075, raw = 4074.800000, rounded_increase = 103, calc = [3972 + (5000.0 - 3972) x 10.00%]
ENP18: rounded = 4168, raw = 4167.500000, rounded_increase = 93, calc = [4075 + (5000.0 - 4075) x 10.00%]
ENP19: rounded = 4251, raw = 4251.200000, rounded_increase = 83, calc = [4168 + (5000.0 - 4168) x 10.00%]
ENP20: rounded = 4326, raw = 4325.900000, rounded_increase = 75, calc = [4251 + (5000.0 - 4251) x 10.00%]
ENP21: rounded = 4393, raw = 4393.400000, rounded_increase = 67, calc = [4326 + (5000.0 - 4326) x 10.00%]
ENP22: rounded = 4454, raw = 4453.700000, rounded_increase = 61, calc = [4393 + (5000.0 - 4393) x 10.00%]
ENP23: rounded = 4509, raw = 4508.600000, rounded_increase = 55, calc = [4454 + (5000.0 - 4454) x 10.00%]
ENP24: rounded = 4558, raw = 4558.100000, rounded_increase = 49, calc = [4509 + (5000.0 - 4509) x 10.00%]
ENP25: rounded = 4602, raw = 4602.200000, rounded_increase = 44, calc = [4558 + (5000.0 - 4558) x 10.00%]
ENP26: rounded = 4642, raw = 4641.800000, rounded_increase = 40, calc = [4602 + (5000.0 - 4602) x 10.00%]
ENP27: rounded = 4678, raw = 4677.800000, rounded_increase = 36, calc = [4642 + (5000.0 - 4642) x 10.00%]
ENP28: rounded = 4710, raw = 4710.200000, rounded_increase = 32, calc = [4678 + (5000.0 - 4678) x 10.00%]
ENP29: rounded = 4739, raw = 4739.000000, rounded_increase = 29, calc = [4710 + (5000.0 - 4710) x 10.00%]
ENP30: rounded = 4765, raw = 4765.100000, rounded_increase = 26, calc = [4739 + (5000.0 - 4739) x 10.00%]
ENP31: rounded = 4789, raw = 4788.500000, rounded_increase = 24, calc = [4765 + (5000.0 - 4765) x 10.00%]
ENP32: rounded = 4810, raw = 4810.100000, rounded_increase = 21, calc = [4789 + (5000.0 - 4789) x 10.00%]
ENP33: rounded = 4829, raw = 4829.000000, rounded_increase = 19, calc = [4810 + (5000.0 - 4810) x 10.00%]
ENP34: rounded = 4846, raw = 4846.100000, rounded_increase = 17, calc = [4829 + (5000.0 - 4829) x 10.00%]
ENP35: rounded = 4861, raw = 4861.400000, rounded_increase = 15, calc = [4846 + (5000.0 - 4846) x 10.00%]
ENP36: rounded = 4875, raw = 4874.900000, rounded_increase = 14, calc = [4861 + (5000.0 - 4861) x 10.00%]
ENP37: rounded = 4888, raw = 4887.500000, rounded_increase = 13, calc = [4875 + (5000.0 - 4875) x 10.00%]
ENP38: rounded = 4899, raw = 4899.200000, rounded_increase = 11, calc = [4888 + (5000.0 - 4888) x 10.00%]
ENP39: rounded = 4909, raw = 4909.100000, rounded_increase = 10, calc = [4899 + (5000.0 - 4899) x 10.00%]
ENP40: rounded = 4918, raw = 4918.100000, rounded_increase = 9, calc = [4909 + (5000.0 - 4909) x 10.00%]
ENP41: rounded = 4926, raw = 4926.200000, rounded_increase = 8, calc = [4918 + (5000.0 - 4918) x 10.00%]
ENP42: rounded = 4933, raw = 4933.400000, rounded_increase = 7, calc = [4926 + (5000.0 - 4926) x 10.00%]
ENP43: rounded = 4940, raw = 4939.700000, rounded_increase = 7, calc = [4933 + (5000.0 - 4933) x 10.00%]
ENP44: rounded = 4946, raw = 4946.000000, rounded_increase = 6, calc = [4940 + (5000.0 - 4940) x 10.00%]
ENP45: rounded = 4951, raw = 4951.400000, rounded_increase = 5, calc = [4946 + (5000.0 - 4946) x 10.00%]
ENP46: rounded = 4956, raw = 4955.900000, rounded_increase = 5, calc = [4951 + (5000.0 - 4951) x 10.00%]
ENP47: rounded = 4960, raw = 4960.400000, rounded_increase = 4, calc = [4956 + (5000.0 - 4956) x 10.00%]
ENP48: rounded = 4964, raw = 4964.000000, rounded_increase = 4, calc = [4960 + (5000.0 - 4960) x 10.00%]
