ENP1: rounded = 5, raw = 5.000000, rounded_increase = 0.0, calc = ENP1 = 5 (raw 5.000000)
ENP2: rounded = 505, raw = 504.500000, rounded_increase = 500, calc = [5.000000 + (5000.0 - 5.000000) x 10.00%]
ENP3: rounded = 954, raw = 954.050000, rounded_increase = 449, calc = [504.500000 + (5000.0 - 504.500000) x 10.00%]
ENP4: rounded = 1359, raw = 1358.645000, rounded_increase = 405, calc = [954.050000 + (5000.0 - 954.050000) x 10.00%]
ENP5: rounded = 1723, raw = 1722.780500, rounded_increase = 364, calc = [1358.645000 + (5000.0 - 1358.645000) x 10.00%]
ENP6: rounded = 2051, raw = 2050.502450, rounded_increase = 328, calc = [1722.780500 + (5000.0 - 1722.780500) x 10.00%]
ENP7: rounded = 2345, raw = 2345.452205, rounded_increase = 294, calc = [2050.502450 + (5000.0 - 2050.502450) x 10.00%]
ENP8: rounded = 2611, raw = 2610.906984, rounded_increase = 266, calc = [2345.452205 + (5000.0 - 2345.452205) x 10.00%]
ENP9: rounded = 2850, raw = 2849.816286, rounded_increase = 239, calc = [2610.906984 + (5000.0 - 2610.906984) x 10.00%]
ENP10: rounded = 3065, raw = 3064.834657, rounded_increase = 215, calc = [2849.816286 + (5000.0 - 2849.816286) x 10.00%]
ENP11: rounded = 3258, raw = 3258.351192, rounded_increase = 193, calc = [3064.834657 + (5000.0 - 3064.834657) x 10.00%]
ENP12: rounded = 3433, raw = 3432.516073, rounded_increase = 175, calc = [3258.351192 + (5000.0 - 3258.351192) x 10.00%]
ENP13: rounded = 3589, raw = 3589.264465, rounded_increase = 156, calc = [3432.516073 + (5000.0 - 3432.516073) x 10.00%]
ENP14: rounded = 3730, raw = 3730.338019, rounded_increase = 141, calc = [3589.264465 + (5000.0 - 3589.264465) x 10.00%]
ENP15: rounded = 3857, raw = 3857.304217, rounded_increase = 127, calc = [3730.338019 + (5000.0 - 3730.338019) x 10.00%]
ENP16: rounded = 3972, raw = 3971.573795, rounded_increase = 115, calc = [3857.304217 + (5000.0 - 3857.304217) x 10.00%]
ENP17: rounded = 4074, raw = 4074.416416, rounded_increase = 102, calc = [3971.573795 + (5000.0 - 3971.573795) x 10.00%]
ENP18: rounded = 4167, raw = 4166.974774, rounded_increase = 93, calc = [4074.416416 + (5000.0 - 4074.416416) x 10.00%]
ENP19: rounded = 4250, raw = 4250.277297, rounded_increase = 83, calc = [4166.974774 + (5000.0 - 4166.974774) x 10.00%]
ENP20: rounded = 4325, raw = 4325.249567, rounded_increase = 75, calc = [4250.277297 + (5000.0 - 4250.277297) x 10.00%]
ENP21: rounded = 4393, raw = 4392.724610, rounded_increase = 68, calc = [4325.249567 + (5000.0 - 4325.249567) x 10.00%]
ENP22: rounded = 4453, raw = 4453.452149, rounded_increase = 60, calc = [4392.724610 + (5000.0 - 4392.724610) x 10.00%]
ENP23: rounded = 4508, raw = 4508.106934, rounded_increase = 55, calc = [4453.452149 + (5000.0 - 4453.452149) x 10.00%]
ENP24: rounded = 4557, raw = 4557.296241, rounded_increase = 49, calc = [4508.106934 + (5000.0 - 4508.106934) x 10.00%]
ENP25: rounded = 4602, raw = 4601.566617, rounded_increase = 45, calc = [4557.296241 + (5000.0 - 4557.296241) x 10.00%]
